user_session,categories
0015e2a2-b56b-4ef7-a764-87bd8e751fb1,"electronics.smartphone,Unknown"
003c535c-99d7-46a7-a48d-d15847dd24e3,"appliances.environment.water_heater,Unknown"
00c659ee-ad40-4936-a738-ff411a741f4b,"kids.toys,Unknown"
0109db60-4ff1-48d1-991b-bfb8309a69f5,"apparel.shoes.keds,electronics.smartphone,Unknown"
014148da-8e4e-450b-b524-291c12e08ad0,"appliances.iron,Unknown"
01c508a9-8b26-4cc5-b501-058bf83c3335,"electronics.clocks,electronics.smartphone"
02e80966-e05d-485f-8e92-d84af0a9d577,"electronics.audio.headphone,Unknown"
06565bce-c64c-4d84-8deb-64959d33ce7f,"electronics.smartphone,Unknown"
072b304b-daf1-4f5a-8dde-e79f0644f0b1,"electronics.smartphone,Unknown"
073f4ff2-e4a8-4d6b-ac5f-7cc235f76355,"electronics.smartphone,Unknown"
0761b5ab-605c-4fec-a6a5-14a7b53a6b06,"electronics.smartphone,electronics.video.tv"
0a159edf-c3e2-4814-95a3-d22cc6e66baa,"electronics.smartphone,Unknown"
0a8c5ea6-c9cc-404f-878f-1b5714b811fb,"electronics.clocks,electronics.smartphone"
0ad3c873-a324-8ca5-b03a-5d80390c48f8,"appliances.kitchen.washer,Unknown"
0b2bab53-7053-4df4-875e-91ed0cf2ba91,"appliances.kitchen.microwave,electronics.smartphone,kids.carriage"
0be46dad-43ce-4426-abc3-7faa7f101ba3,"appliances.kitchen.washer,electronics.smartphone,electronics.video.tv"
0c6962ce-9634-4a83-8fd8-332aeee7220f,"electronics.smartphone,electronics.video.tv"
0c9e0384-d233-40b3-b1bc-a9d7673447c7,"electronics.smartphone,Unknown"
0d61351e-16fc-4c0a-b8e3-24b74c9ae0a5,"appliances.environment.water_heater,Unknown"
0d7f0385-fbdf-4611-811a-e502895b0aa2,"appliances.kitchen.washer,electronics.video.tv"
0e917dc1-3960-49cf-9992-885ae033a463,"electronics.smartphone,Unknown"
0f648216-9c10-4d14-852e-c0fa4c2cfbaa,"auto.accessories.player,Unknown"
1025ed93-341b-4b67-b154-ab83ee5eb503,"appliances.environment.vacuum,appliances.kitchen.hob"
108858bb-8631-4723-8caf-bf70958a635e,"electronics.smartphone,Unknown"
108bc76a-51c8-4ded-89c9-79946e4c9bda,"electronics.smartphone,electronics.video.tv"
1171e92e-2c0e-4fab-95cb-ba7ab0c511d0,"computers.notebook,electronics.smartphone"
11de825f-c8fe-4487-9cd5-6d3c9ea7a818,"electronics.smartphone,Unknown"
11f71098-6661-4e8c-a4e7-a4c2537fcada,"appliances.kitchen.refrigerators,appliances.kitchen.washer"
1295642b-1568-4743-bbb0-ba4b77fb291a,"electronics.clocks,electronics.smartphone"
1369a85e-4db0-4c60-b8af-2359c34bc977,"furniture.bedroom.bed,Unknown"
13a1bf52-8f07-489c-9767-fc9732d40aa2,"electronics.audio.headphone,electronics.smartphone"
1517aca6-7d6b-489e-8529-37d7ca8248b2,"electronics.smartphone,Unknown"
15498623-600d-4e81-9410-7dd5b3881c3b,"appliances.kitchen.washer,electronics.audio.headphone"
1595fc63-e31a-4828-a1ad-edb7336d4b30,"computers.notebook,electronics.smartphone"
16c0468b-1724-4f97-a9c5-2708f685976e,"electronics.tablet,furniture.living_room.cabinet"
174d4364-c896-479a-a8b2-4b6fa1accaf1,"electronics.smartphone,electronics.video.tv"
18138e9d-1893-49c6-8379-28d676107654,"apparel.shoes,Unknown"
1956954d-81d7-4531-bdc2-a3bfa1c8ec63,"electronics.clocks,electronics.smartphone"
1a3ee8bb-9562-4998-b47e-52d600eba585,"electronics.smartphone,Unknown"
1a52ae34-5315-43d9-aaae-eaa84b15b4a9,"electronics.smartphone,Unknown"
1aa592a9-071c-4549-98e5-337e8472936d,"electronics.smartphone,electronics.tablet"
1d49a530-5af4-4ab1-ac24-e32d65341869,"electronics.smartphone,Unknown"
1dce117e-373c-4e27-8b7f-b2203d58acfb,"electronics.smartphone,kids.toys"
1dce7659-fd1f-4ade-b7b6-ece2e8b111b9,"electronics.audio.headphone,electronics.smartphone"
1e390127-ed35-4887-b443-769453577344,"electronics.clocks,Unknown"
1f0b159c-e1a0-415f-94dc-22f656c33884,"furniture.bedroom.bed,furniture.kitchen.chair"
20807d7a-0262-4f3a-aedc-e416ddfe14ba,"appliances.environment.water_heater,appliances.kitchen.washer"
21558a8c-42cd-4067-8f5c-6b6c5c8218ea,"electronics.audio.headphone,Unknown"
2170ad73-0be3-49a9-a8f7-836ec1ec7435,"electronics.video.tv,Unknown"
21abf249-4483-4de5-ab78-e91ed847d03c,"kids.toys,Unknown"
21df524e-8be9-4694-9086-eff256e4d0f7,"appliances.kitchen.refrigerators,electronics.smartphone"
21e68d9f-107a-4295-9101-66e24ccfd59e,"construction.tools.drill,Unknown"
2202cdef-26f5-4b1a-916c-c0b0daa3ed5c,"electronics.smartphone,Unknown"
221d01f5-8520-4e6f-97c0-ecb557bfab75,"electronics.audio.subwoofer,Unknown"
244f8991-0a62-489d-a9e4-56b8bbb84902,"appliances.environment.vacuum,Unknown"
24a82bf8-6262-4892-93ec-b94651681318,"electronics.smartphone,Unknown"
25b9eb64-9bea-45bb-a7a1-4a2881dbebe5,"appliances.environment.air_heater,appliances.kitchen.kettle"
2692a1d0-0afc-4310-8ad0-61134780c0b5,"electronics.audio.headphone,electronics.smartphone"
276a1f4a-b106-498f-932b-edbbf23c14a0,"electronics.smartphone,Unknown"
27ab2bdd-4c8f-4358-b7f3-75515c47ddcb,"appliances.kitchen.washer,electronics.smartphone"
27bd42c2-c480-4a78-a348-728506c7f1cb,"electronics.smartphone,Unknown"
280ede6f-7d20-4f95-b981-71db6ad2298a,"electronics.audio.headphone,electronics.smartphone"
28f30519-2a38-4555-bb26-8f487c1842ef,"electronics.smartphone,Unknown"
2a99f527-4e4c-453a-97bb-12035ac7720b,"electronics.smartphone,Unknown"
2aa6ce2a-dddc-4fd3-8ca6-664ccb75614f,"electronics.smartphone,electronics.video.tv"
2ad19690-5be9-4d5d-8d38-6cd5a4b30a4d,"furniture.bedroom.blanket,furniture.bedroom.pillow"
2ade6a8c-d7e9-4c28-a472-c0162490a7cf,"furniture.bedroom.blanket,Unknown"
2af8b363-4ac4-4368-aa4a-2f1760099715,"furniture.bathroom.toilet,Unknown"
2f0aa122-74f1-0fc2-3470-f3171e76b435,"electronics.smartphone,Unknown"
2f2afa78-5f3f-4129-8efb-c6a9fcc8f018,"auto.accessories.player,electronics.smartphone"
2f4ce2dd-7564-4c33-b6ea-129d1b003ed8,"electronics.clocks,electronics.smartphone"
3012a43a-080d-4ab8-ae6b-aa01761ee9e4,"appliances.kitchen.washer,electronics.video.tv"
3023556d-a19a-4e61-85be-efcd562ad4c5,"appliances.sewing_machine,construction.tools.generator"
30cbbd65-f646-43a2-8f8a-e1b9534c8085,"electronics.camera.photo,electronics.smartphone"
310be5e6-334b-45b4-b3ac-342ddc2dfa24,"auto.accessories.alarm,auto.accessories.videoregister"
31160dab-09b5-421e-bf14-23339754650b,"kids.toys,Unknown"
