product_id,views,cart_adds,purchases,conversion_rate
27500015,4,9,5,125.00
18300219,2,0,2,100.00
21407185,1,0,1,100.00
17303057,2,0,2,100.00
19600386,1,0,1,100.00
10200148,1,0,1,100.00
10200225,1,0,1,100.00
12500700,1,0,1,100.00
10301406,1,0,1,100.00
44400104,1,0,1,100.00
12717740,1,0,1,100.00
4804323,1,0,1,100.00
9200473,1,0,1,100.00
10100073,1,0,1,100.00
10100464,1,0,1,100.00
11000288,1,0,1,100.00
26205395,1,0,1,100.00
17601298,1,0,1,100.00
7202686,1,0,1,100.00
28715620,1,0,1,100.00
23200205,1,0,1,100.00
26601372,2,0,2,100.00
12700592,2,2,2,100.00
28500086,2,0,2,100.00
17302600,2,0,2,100.00
13500024,2,0,2,100.00
26500502,2,0,2,100.00
26026508,2,0,2,100.00
12705440,2,0,2,100.00
13300800,2,0,2,100.00
12701256,2,0,2,100.00
29502371,2,0,2,100.00
48300031,2,0,2,100.00
17301319,6,0,6,100.00
5301372,2,0,2,100.00
3700560,2,0,2,100.00
26023493,2,0,2,100.00
12707397,2,0,2,100.00
12716976,2,0,2,100.00
25200017,2,0,2,100.00
26018001,2,0,2,100.00
6700680,2,0,2,100.00
12713522,2,0,2,100.00
12708102,2,0,2,100.00
12700584,2,2,2,100.00
6902883,2,0,2,100.00
12202041,2,0,2,100.00
45400101,2,0,2,100.00
26004565,2,0,2,100.00
5800891,2,0,2,100.00
12701224,4,0,4,100.00
24600269,12,14,12,100.00
12703811,2,4,2,100.00
5800216,2,0,2,100.00
12706726,4,0,4,100.00
4802349,2,0,2,100.00
12719005,2,0,2,100.00
28101973,2,0,2,100.00
4900379,2,0,2,100.00
11600143,2,0,2,100.00
12719547,2,0,2,100.00
12715246,2,0,2,100.00
9100459,2,0,2,100.00
26006396,4,0,4,100.00
3800779,2,0,2,100.00
20400217,2,0,2,100.00
7200337,6,0,4,66.67
38100036,6,0,4,66.67
12719811,6,0,4,66.67
17800714,3,0,2,66.67
12700711,3,2,2,66.67
3100075,3,0,2,66.67
43300118,3,0,2,66.67
12716559,6,0,4,66.67
7101913,3,0,2,66.67
27201675,9,0,6,66.67
32403698,3,0,2,66.67
12704495,3,2,2,66.67
26017653,6,0,4,66.67
40600071,3,0,2,66.67
12716689,3,0,2,66.67
4502766,3,0,2,66.67
7900958,6,0,4,66.67
21402432,3,0,2,66.67
18001389,15,0,9,60.00
12716552,5,0,3,60.00
12708213,7,0,4,57.14
4801994,15,0,8,53.33
17301664,15,0,8,53.33
17300013,4,0,2,50.00
28300179,4,0,2,50.00
13900014,4,0,2,50.00
5301670,4,0,2,50.00
2401796,4,0,2,50.00
11600097,4,0,2,50.00
26400463,4,0,2,50.00
28716510,4,0,2,50.00
26018832,4,0,2,50.00
12716543,4,0,2,50.00
30900583,4,0,2,50.00
13400894,4,0,2,50.00
11500603,4,0,2,50.00
19900072,4,0,2,50.00
2900915,4,2,2,50.00
26016685,4,0,2,50.00
25700022,4,0,2,50.00
26006025,8,0,4,50.00
26405054,4,0,2,50.00
12707394,4,0,2,50.00
12717162,4,0,2,50.00
13100308,4,0,2,50.00
12720672,4,0,2,50.00
26022940,4,0,2,50.00
3900746,4,0,2,50.00
17302808,4,0,2,50.00
22400004,4,0,2,50.00
12710068,4,0,2,50.00
6600485,4,0,2,50.00
26003395,4,0,2,50.00
23200522,4,0,2,50.00
26203696,4,0,2,50.00
26404171,4,0,2,50.00
10502531,4,0,2,50.00
57800018,8,0,4,50.00
13800359,4,0,2,50.00
12708204,8,0,4,50.00
4803175,4,0,2,50.00
14701674,4,0,2,50.00
26404619,4,0,2,50.00
40500005,8,0,4,50.00
7100246,4,0,2,50.00
12718101,4,0,2,50.00
17302142,4,0,2,50.00
38300494,4,0,2,50.00
7900145,4,0,2,50.00
12708141,12,0,6,50.00
26023377,4,0,2,50.00
12719146,4,0,2,50.00
26013643,4,0,2,50.00
21409749,4,0,2,50.00
12700634,12,6,6,50.00
26300633,4,0,2,50.00
30900239,4,0,2,50.00
3200406,4,0,2,50.00
12710965,4,0,2,50.00
27201013,4,0,2,50.00
3300480,4,0,2,50.00
12800298,8,0,4,50.00
28716999,4,0,2,50.00
13400775,4,0,2,50.00
26006231,4,0,2,50.00
38100015,4,0,2,50.00
28714395,4,0,2,50.00
2402082,4,0,2,50.00
28721172,4,0,2,50.00
16700356,4,0,2,50.00
1600384,4,0,2,50.00
2702542,4,0,2,50.00
21400190,4,0,2,50.00
26200222,4,0,2,50.00
12702351,2,1,1,50.00
37900061,2,0,1,50.00
32403750,2,0,1,50.00
38600052,2,0,1,50.00
26017395,2,0,1,50.00
12718478,2,0,1,50.00
12707462,2,0,1,50.00
3300506,2,0,1,50.00
3900716,2,0,1,50.00
12702630,2,0,1,50.00
11200002,2,0,1,50.00
12719095,2,0,1,50.00
24000053,2,0,1,50.00
